abandon,v. 遺棄
fund,n./v.資金
fundamental,adj.基礎的
funeral,n.葬儀
funny,adj.有趣的
fur,n.毛皮
furious,adj.狂怒的；猛烈的
furnish,v.裝備
furniture,n.傢俱
further,adj./adv./v.進一步的
furthermore,adv.此外
future,n./adj.未來；前途
hostess,n.女主人
hostile,adj.敵人的
hostility,n.敵意
hot,adj.熱的；熱情的
hotel,n.旅館；飯店
house,n./v.住宅
household,adj./n.家庭的
housekeeper,n.女管家
housewife,n.家庭主婦
housework,n.家事；家務
housing,n.住房建築
how,adv.如何；多少
however,adv./conj.然而
howl,v.號叫
hug,n./v.擁抱；抱住
huge,adj龐大的
human,adj./n.人類的
humanity,n.人性；人文學科
humble,adj.謙恭的
humbly,adv.謙虛地
humid,adj.潮溼的
humidity,n.溼氣
humiliate,v.屈辱
humiliation,n.蒙羞
humor,n.幽默感
humorous,adj.幽默的
humorously,adv.幽默地
hundred,adj./n.一百
hunger,n.飢餓
hungry,adj.飢餓的；渴求的
hunt,v./n.追捕；打獵
hunter,n.獵人
hurl,v.用力投擲
hurrah,interj.歡呼聲
hurricane,n.颶風；暴風雨
hurry,n./v.急忙
hurt,n./v.受傷
husband,n.丈夫
hygiene,n.衛生
hymn,n.聖歌
hyphen,n.連字號
hypocrisy,n.虛偽
hypocrite,n.偽君子
hypothesis,n.假設
hysterical,adj.患歇斯底里症的
gaiety,n.愉快
gain,n./v.獲得；獲利
galaxy,n.銀河系
gallery,n.畫廊；美術館
gallon,n.加侖
gamble,v.賭博；投機
game,n.遊戲；競賽
gang,n.惡少幫；阿飛黨
gap,n.缺口；峽谷；隔閡
garage,n.車庫
garbage,n.垃圾；廢物
garden,n./v.花園；從事園藝
gardener,n.園丁；花匠
garlic,n.大蒜
gas,n./v.氣體；瓦斯
gasoline,n.汽油
gasp,v.喘息
gate,n.大門；柵門
gather,v.收集；聚集
gauge,n.標準度量
gaze,v.凝視；注視
gear,n./v.齒輪；搭上齒輪
gear,n.汽車之排檔
Gemini,n.雙子座
gender,n.性別
gene,n.基因；遺傳因子
general,adj.一般的；普遍的
generalize,v.歸納
generate,v.產生；引起
generation,n.世代；產生
generator,n.發電機
generosity,n.慷慨
generous,adj.慷慨的
generously,ad v.慷慨地
genetics,n.遺傳學
genius,n.天賦；天才
gentle,adj.有教養的
gentleman,n.紳士
genuine,adj.真誠的
geographical,adj.地理學的
geography,n.地理學；地形
geometry,n.幾何學
germ,n.起源；細菌
gesture,n./v.做手勢；手勢
get,v.獲得；到達
ghetto,n.城市中猶太人的保留區
ghost,n.鬼；幽靈
giant,adj./n.巨人；巨大的
gift,n.禮品；天賦
gifted,adj.有天賦的
gigantic,adj.巨人似的；龐大的
gin,n.杜松子酒
ginger,n.
giraffe,n.長頸鹿
girl,n.少女
give,v.給；送給
glad,adj.高興的
glamour,n.魅力
glance,v.一瞥；掃視
glare,v.發強烈的光
glass,n.玻璃；玻璃杯
glasses,n.眼鏡
glassware,n.玻璃器皿
gleam,n.一絲光線
glide,v./n.滑行
glimpse,v./n.看一眼；瞥見
glitter,v.閃爍
global,adj.全球的
globe,n.地球；球狀物
gloomy,adj.黑暗的
glorious,adj.光榮的；輝煌的
glory,n./v.光榮；驕傲
glove(s),n.手套
glow,v./n.發光；發熱
glue,n./v.膠水；黏牢
go,v.去；從事
goal,n.目標
goalkeeper,n.守門員
goat,n.山羊
god,n.上帝；造物主
goddess,n.女神；受尊崇的女子
gold,n./adj.黃金(色)
golden,adj.金色的；貴重的
goldfish,n.金魚
golf,n./v.高爾夫球
good,adj./n.好的；利益
goodbye,interj./n.再見
goodness,n.善良
goods,n.貨物
goose,n.鵝；傻瓜
gorgeous,adj.華麗的
gospel,n.主義
gossip,n./v.流言輩語
govern,v.統治；治理
government,n.政府；政體
governor,n.州長；主管
gown,n.長禮服；長抱
grab,v./n.抓取；奪取
grace,n./v.優雅
graceful,adj.優美的
gracious,adj.和藹的；雅致的
grade,n./v.級別；評分
gradual,adj.逐步的；平緩的
graduate,v./n.畢業；大學畢業生
graduation,n畢業；畢業典禮
grain,n.穀粒；穀物
gram,n.(重量單位)克
grammar,n.文法
grammatical,adj.文法上的
grand,adj.雄偉的；重大的
grandchild,n.(外)孫子／女
granddaughter,n.孫女；外孫女
grandfather/grandpa,n.祖父；外祖父
grandmother/grandma,n.祖母；外祖母
grandson,n.孫子；外孫
grape,n.葡萄
grapefruit,n.葡萄柚
grasp,v./n.緊握；理解
grass,n.青草；草地
grasshopper,n.蝗蟲；蚱蜢
grate,n./v.壁爐；磨碎
grateful,adj.感謝的
gratitude,n.感激
grave,adj.重大的；嚴肅的
grave,n.墓穴；埋葬處
gravestone,n.墓碑
graveyard,n.墓地
gravity,n.重力；萬有引力
grease,n.油脂
greasy,adj.油膩的
great,adj.重大的
greatness,n.很多
greed,n.貪婪
greedy,adj.貪婪的
green,adj./n.綠色的
greenhouse,n.溫室
greet,v.問候
greeting(s),n.問候語
gray,adj./n.灰色的
grief,n.悲傷；不幸
grieve,v.使悲傷
grill,v.烤
grim,adj.嚴厲的
grin,v./n.露齒而笑
grind,v.磨；碾；壓
groan,n./v.呻吟
grocery,n.食品雜貨店
groom,n.馬夫
ground,n.地面
group,n./v.群；團體；聚集
grove,n.樹叢
grow,v.發育；種植
growth,n.生長；發育
grumble,v.發怨言
guarantee,n./v.保證；擔保品
guard,n./v.保衛；守衛
guardian,n.監護人；管理員
guess,v./n.猜測
guest,n.客人
guidance,n.引導
guideline,n.指導方針
guilt,n.犯罪
guilty,adj.有罪的；內疚的
guitar,n.吉他
gulf,n.海灣；深淵
gum,n.樹脂；口香糖
gun,n.槍；砲
guy,n.傢伙；朋友
gymnasium/gym,n.體育館
gypsy,n.吉普賽
habit,n.習慣
habitual,adj.習慣的
hail,v.歡迎
hair,n.毛髮；頭髮
haircut,n.理髮
hairdo,n.髮型
hairdresser,n.美髮師
hairstyle,n.髮型
half,adj./adv./n.二分之一的
halftvay,adj./adv.位於兩地中途的
hall,n.大廳；走廊
hallway,n.玄關；走廊
halt,v./n.停止；暫停
halt,v.猶豫
ham,n.火腿
hamburger,n.漢堡
hand,n./v.手；交給
handbook,n.手冊
handful,n.一把
handicap,n.障礙；不利條件
handkerchief,n.手帕；圍巾
handle,(1) n.柄；把手
handle,(2) v.觸摸；處理
handsome,adj.英俊的
handwriting,n書寫
handy,adj.手邊的；巫巧的
hang,v.懸掛；吊死
hanger,n.衣架；絞刑執行者
happen,v.發生
happening,n.事件
happily,ad v.快樂的
happiness,n.快樂
happy,adj.快樂的
harassment,n.煩惱
harbor,n.海灣；港灣
hard,adj./adv.硬的；艱難的
harden,v.使變硬；使堅強
hardly,ad v.幾乎不
hardware,n.五金器具；硬體
hardy,adj.強壯的
hare,n.野兔
harm,n./v.損害；傷害
harmful,adj.有害的
harmony,n.協調
harness,n.馬具
harsh,adj.粗糙的；殘酷的
harshly,adv.刺耳地；嚴厲地
harvest,n./v.收穫
hasten,v.急忙
hastily,adv.急忙地
hasty,adj.匆忙的
hat,n.帽子
hatch,v.孵蛋；策劃
hate,v./n.憎恨
hatred,n.憎恨；敵意
haul,v.拖
hawk,n.鷹
hay,n.乾草
head,n.頭
headache,n.頭痛
heading,n.標題
headline,n.(報紙的)標題
head-on,adj./adv.正的
headquarters,n.總部
heal,v.治癒
health,n.健康
healthy,adj.健康的
heap,n.堆
hear,v.聽見
hearsay,n.謠言
heart,n.心臟；中心
heat,n./v.熱度；加熱
heater,n.暖氣機
heaven,n.天國；極樂之地
heavier,adj.重的
heavy,adj.沉重的
heavyweight,n./adj.重量級拳手；重的
hedge,n.樹籬
heel,n.腳後跟
height,n.高度
heighten,v.增高
heir,n.繼承人
heiress,n.女繼承人
helicopter,n.直昇機
helmet,n.頭盔；安全帽
help,n./v.幫助
helpful,adj.有幫助的
herald,n./v.使者；宣布 v.之將臨
herd,n.獸群
here,n./adv.這裡；在這裡
heroin,n.海洛英
heroine,n.女英雄
hesitantly,adv.遲疑地
heterosexual,adj.異性戀的
hierarchy,n.階級組織
hijack,v.劫取
hike,n.健行
hinder,v.妨礙
hint,n./v.暗示
hip,n.臀部
hire,v./n.租借；雇用
historian,n.歷史學家
historic,adj.歷史上著名的
historical,adj.歷史的’
history,n.歷史
hit,v./n.打中；打擊
hobby,n.嗜好
hockey,n.曲棍球
hold,v./n.抓住；支撐
hole,n.孔；漏洞
holiday,n.假日
Hollywood,n.好萊塢
holy,adj.神聖的
home,n./adv.住家；家庭
homeland,n.祖國；家夠卜
homeless,adj.無家可歸的
homely,adj家常的
homesick,adj.懷鄉病的
hometown,n.永久居留地
homework,n.家庭作業
homosexual,adj./n.同性戀
honest,adj.誠實的
honesty,n.誠實
honey,n.蜂蜜
honeymoon,n.蜜月假期
honor,n./v.榮譽；使…增光
honorable,adj.榮譽的
hook,n.勾子；陷阱
hop,v./n.跳過；跳躍
hope,v./n.希望
hopeful,adj.充滿希望的
horizon,n.地平線；眼界
hormone,n.荷爾蒙
hom,n.角；號；喇叭
horrible,adj.可怕的
horrifying,adj.駭人的
horror,n.恐怖
horse,n.馬
hose,n.長統襪及短襪
hospitable,adj.好客的
hospital,n.醫院
host,n./v.主人
hostage,n.人質
hostel,n.旅舍
hostess,n.女主人
hostile,adj.敵人的
hostility,n.敵意
hot,adj.熱的；熱情的
hotel,n.旅館；飯店
house,n./v.住宅
household,adj./n.家庭的
housekeeper,n.女管家
housewife,n.家庭主婦
housework,n.家事；家務
housing,n.住房建築
how,adv.如何；多少
however,adv./conj.然而
howl,v.號叫
hug,n./v.擁抱；抱住
huge,adj龐大的
human,adj./n.人類的
humanity,n.人性；人文學科
humble,adj.謙恭的
humbly,adv.謙虛地
humid,adj.潮溼的
humidity,n.溼氣
humiliate,v.屈辱
humiliation,n.蒙羞
humor,n.幽默感
humorous,adj.幽默的
humorously,adv.幽默地
hundred,adj./n.一百
hunger,n.飢餓
hungry,adj.飢餓的；渴求的
hunt,v./n.追捕；打獵
hunter,n.獵人
hurl,v.用力投擲
hurrah,interj.歡呼聲
hurricane,n.颶風；暴風雨
hurry,n./v.急忙
hurt,n./v.受傷
husband,n.丈夫
hygiene,n.衛生
hymn,n.聖歌
hyphen,n.連字號
hypocrisy,n.虛偽
hypocrite,n.偽君子
hypothesis,n.假設
hysterical,adj.患歇斯底里症的
I.Q.,n.智力商數
ice,n.冰
iceberg,n.冰山
ID,n.身分證
idea,n.主意；觀念
ideal,adj./n.理想(的)
identical,adj.同一的
identification,n.識別；身分證明
identify,v. 鑑定；識別
identity,n.身分；同一性
ideological,adj.意識形態的
ideology,n.意識形態
idiom,n.慣用語
idiot,n.白癡
idle,adj.不做事的
idol,n.偶像
if,conj. 如果
ignorance,n.無知
ignorant,adj.無知的
ignore,v.不顧；忽視
ill,adj./adv.生病的
illegal,adj.違法的
illness,n.患病；身體不適
illogical,adj.不合理的
illuminate,v.照亮
illustrate,v.圖解；說明?
illustration,n.圖解；說明?
image,n.影像；形像
imaginary,adj.想像中的
imagination,n.想像力；創造力
imaginative,adj.想像的
imagine,v.想像
imitate,v.模仿
imitation,n.偽造
immediate,adj.立刻的
immense,adj.極大的
immigrant,n.移民
immigration,n.移居
immigrate,v.遷移
imminent,adj.逼近的
immoral,adj.不朽的
immune,adj.免除的
impact,n./v.衝擊；產生影響
impair,v.損害
impartial,adj.公平的
impatient,adj.不耐煩的
imperial,adj.帝國的
impersonal,adj.不受個人感情影響的
implement,v.實現
implicit,adj.暗示的
imply,v.暗示
impolite,adj不禮貌的
import,n./v.進口
importance,n.重要性
important,adj.重要的
imposing,adj.氣勢雄偉的
impractical,adj.不切實際的
impress,v.使銘記
impression,n.印象
impressive,adj.令人印象深刻的
imprison,v.監禁
improve(ment),v.(n.)改善
inability,n.無能力
inappropriate,adj.不適當的
incentive,n./adj.刺激
inch,n./v.英吋
incident,n.事件；插曲
incidentally,adv.附帶的
inclination,n.傾斜
include,v.包括
including,prep.包含·在內
income,n.收入
incomplete,adj.不完全的
inconvenient,adj.使人不便的
increase,n./v.增加
incredible,adj.驚奇的
incur,v.招致
indebted,adj. 負債的
indecision,n.無決斷力
indeed,adv.的確
independence,n.獨立
independent,adj.獨立的
independently,adv.獨立的
indicate,v.指示；象徵
indicator,n.指示者
indifference,n.不關心
indifferent,adj.對…不感興趣
indigestion,n.消化困難
indignant,adj.憤慨的
indignation,n.憤慨
indirect,adj.非直接的
indistinct,adj.模糊的
individual,adj./n.個別的；個人
indoor,adj.室內的
indoors,adv.在室內
indulge,v.使滿足
industrial,adj.工業的
industrialize,v.使工業化
industrious,adj.勤勉的
industry,n.工業
ineffective,adj.無效力的
inefficient,adj.無效率的
inevitable,adj.無可避免的
inexpensive,adj.不貴的
infant,n.嬰兒
infantry,n.步兵
infer,v.推斷
inference,n.推論
inferior,adj.低於…的
infinite,adj.無窮的
inflation,n.通貨膨脹
inflict,v.予以(打擊等)
influence,n./v.影響力；作用
influential,adj.有影響的
influenza,n.流行性感冒
inform,v.通知
informal,adj.非正式的
information,n.資訊
informative,adj情報的
ingenuity,n.靈巧
ingredient,n.組成部分
inhabitant,n.居民
inherit,v.繼承
initial,(1) adj.最初的
initial,(2)n.字的起首字母
initially,adv.在起初
initiate,v.開始；使入會
inject,v.注射
injure,v.傷害
injury,n.傷害
injustice,n.不公正
ink,n./v.墨水；塗墨水於…
inn,n.小旅館；客棧
inner,adj.內在的
innocence,n.清白；無知
innocent,adj.清白的；無知的
innovation,n.革新；創新
input,n./v.輸入
inquisitive,adj.好管閒事的
insane,adj.瘋狂的
insect,n.昆蟲
insecure,adj.不安全的
insert,v.插入
inside,prep./adj./adv./n.在…的裡面；內部的
insist,v.堅持
inspect,v.檢查
inspection,n.檢查
inspiration,n.靈感
inspire,v.鼓舞
inspiring,adj.令人鼓舞的
instability,n.不穩定
installation,n.安置
instance,n.例子
instant,adj.立刻的
instantly,adv.立即
instead,adv.反而
instinct,n.本能；直覺
institutional,adj.制度(上)的
instruct,v.指導
instruction,n.教導；指示
instructor,n.指導者；教練
instrument,n.儀器；樂器
insult,n./v.羞辱
insulting,adj.侮辱人的
insurance,n.保險
intact,adj.未觸動的
integral,adj.構成整體所需要的
integrity,n.廉正
intellect,n.理解力
intelligence,n.智慧；情報工作
intelligent,adj.聰明的
intelligible,adj.易了解的
intend,v.打算
intense,adj.強烈的
intensify,v.強化
intensity,n.強烈；強度
intensive,adj.加強的
intent,n.目的
intention,n.意圖；目的
interact,v.互動
interaction,n.互動
intercept,v.中途阻止
interchangeable,adj.可交換的
intercourse,n.交際
interest,n./v.利益；興趣
interesting,adj.有趣的
interfere,v.妨礙；干預
interference,n.阻礙；干預
interior,n./adj.內部(的)
intermediate,adj.中問的
internal,adj.內部的
international,adj.國際的
Internet,n.網際網路
interpret,v.解釋；翻譯
interpretation,n.解釋；翻譯
interpreter,n.口譯者
interrupt,v.打斷
interruption,n.阻礙；干擾
intersection,n.橫切
interview,n./v.會見；面試
intimate,adj.親密的；熟悉的
intimidate,v.脅迫
intonation,n.語調
intricate,adj.複雜的
intrigue,v./n.密謀；陰謀
intriguing,adj. 有趣的；有魅力的
introduce,v.介紹；提出
introduction,n.介紹；引言
intuition,n.直覺
invade,v.侵略；侵犯
invasion,n.入侵
invent,v.發明；創造
invention,n.發明；創造力
inventor,n.發明者
invest(ment),v.(n.)投資；投入
investigate,v.調查；研究
investigation,n.調查；研究
investigator,n.調查者
investor,n.投資者
invisible,adj.看不見的
invitation,n.邀請
invite,v.邀請
inviting,adj.吸引人的
invoke,v.祈求幫助或保護
involve(ment),v.(n)使捲入
inward,adj.在內的
iron,n./adj.鐵；熨斗
ironic,adj.諷剌的
irony,n.反語
irregular,adj.不合常規的
irrelevant,adj.不切題的
irresponsible,adj.不須負責任的
irritable,adj.急躁的
irritate,v.激怒
island,n.島
isolate,v.使孤立
isolated,adj.孤立的
isolation,n.隔離
Italian,n.義大利文
itch,v.發癢
item,n.項目
ivory,adj./n.似象牙的；象牙(質)
jacket,n.夾克
jail,n./v.拘留所
jam,n.果醬；堵塞
January,n.一月
Japanese,n.日本人
jar,n.罐；罈；瓶
jar,n.刺耳的聲音
jasmine,n.茉莉
jaw,n.頜；顎；下巴
jaywalk,v.不遵守交通規則而穿越馬路
jazz,n.爵士樂
jealous,adj.嫉妒的
jeans,n.牛仔褲
jeep,n.吉普車
jelly,n.果凍
jerk,v.猛然一推
jet,n.噴射機
jewel,n.珠寶
jewelry,n.(總稱)珠寶
job,n.工作
jog,n./ v.輕搖；慢跑
jog,v.輕撞
join,v.參加
joke,n./v.玩笑
journal,n.雜誌；期刊
journalism,n.新聞業
journalist,n.新聞記者
journey,n.旅行
joy,n.歡樂
joyful,adj.高興的
joyous,adj.快樂的
judge(ment),n./v.法官
judicial,adj.法庭的
juice,n.果汁
July,n.七月
jump,n./v.跳躍
junction,n.連接
June,n.六月
jungle,n.叢林
junior,n./adj.較年少者
junk,n.廢物；垃圾
just,adj.公平的
just,adv.僅僅
justice,n.公平；正義
justification,n.理由
justly,adv.合理的
juvenile,adj.少年的
kangaroo,n.袋鼠
keen,adj.熱衷的
keenly,adv激烈地
keep,v.保存
ketchup,n.調味蕃茄醬
kettle,n.水壺
key,adj.關鍵的
key,n.鑰匙；關鍵
keyboard,n.鍵盤
kick,v.踢；反衝
kid,n.小孩
kidnap,v.綁架
kidney,n.腎
kill,v.殺死；使終止
killer,n.殺人者
kind,adj.親切的
kind,n.種類；性質
kindergarten,n.幼稚園
kindly,adj.友善的
kindness,n.親切
king,n.國王
kingdom,n.王國；王權
king-size,adj.特大號的
kiss,n./v.吻
kit,n.所有的裝備
kitchen,n.廚房
kite,n.風箏
kitten,n.小貓
knee,n.膝蓋
kneel,v.跪下
knife,n.刀
knight,n.騎士；爵士
knit,v.編織；接合
knob,n.節；瘤
knock,n./v.敲；打
knot,n./v.(繩等的)結
know,v.知道
know-how,n.技能
knowledge,n.知識
knowledgeable,adj.博識的
lab,n.實驗室
label,n./v.標籤
labor,n./v.勞動；勞工
laboratory/lab,n.實驗室
lace,n.鞋帶；花邊
lack,v./n.缺少
lad,n.少年
ladder,n.梯子
lady,n.女士
lake,n.湖
lama,n.喇嘛
lamb,n.小羊
lament,v.悲傷
lamp,n.燈
land,n.土地
land,v.使登陸
landing,n.登陸
landlady,n.女房束
landlord,n.地主
landmark,n.陸標
landmine,n.地雷
landslide,n.山崩
lane,n.小路；巷弄
language,n.語言
lantern,n.燈籠；街燈
lap,n.膝部
large,adj.大的
largely,adv.大部分
laser,n.雷射
last,adj./adv./n./pron. 最後的；最近的
last,v.持續
late,adj./adv.遲的；晚的
lately,adv.最近
latest,adj.最近；最遲
latitude,n.緯度
latter,adj./n.後面的；後半的
flatter,adj.近來的
laugh,n./v.笑
laughter,n.笑
launch,v./n.發射；投擲
laundry,n.洗衣店
law,n.法律
lawful,adj.法律上的
lawmaker,n.立法者
lawn,n.草坪
lawnmower,n.除草機
lawsuit,n.訴訟
lawyer,n.律師
lay,v.放；安排；下蛋
layman,n.門外漢
lazy,adj.懶散的
lead,v.領導
leader,n.領袖
leadership,n.指揮；統率力
leaf,n.葉子；一張或一頁
leak,v.漏
leakage,n.洩漏
lean,v.傾斜；倚靠
leap,n./v.跳躍；舞
learn,v.學習
learned,adj.有學問的
lease,n.租約
leather,n.皮革
leave,n./v.休假；許可；離開
lecture,n./v.授課
lecturer,n.講演者；講師
leg,n.腿
legacy,n.遺產
legal,adj.法律上的；合法的
legally,adv.法律上
legend,n.傳說
leisure,adj./n.空閒的
leisurely,adj./adv.悠然的
lemon,n.檸檬
lemonade,n.檸檬水
lend,v.把…借給
length,n.長度；期間
lengthy,adj.冗長的
lengthen,v.使延長
lens,n.鏡片；眼球的水晶體
lesbian,n.女同性戀者
less,adj./adv.較少的/地
lesser,adj./adv.較小的
lesson,n.功課；課程
let,v.允許；讓
letter,n.信；字母
level,n.高度；層；水準
liability,n.有義務
liar,n.說謊的人
liberal,adj.心胸寬闊的
liberate,v.解放
liberation,n.解放
liberty,n.自由
librarian,n.圖書館員
library,n.圖書館
license,n./v.許可；執照
lick,n./v.舐；(火)蔓延
lid,n.蓋子；眼瞼
lie,n./v.躺臥
lieutenant,n.陸軍中尉
life,n.生命
lifeboat,n.救生艇
lifeguard,n.救生員
lifelong,adj.終生的
lifetime,n.一生
lift,n./v.舉起
light,adj./n./v.明亮的
lighten,v.照亮
lightning,n.閃電；閃光
lightweight,n./adj.平均重量以下；不重要的人
like,prep.像；和·一樣
like,n./v.喜歡
likelihood,n.可能性
likely,adj.很可能的
likewise,adv.同樣的
liking,n愛好
lily,n.百合花
limb,n.肢；臂
limit,n./v.限制
limitation,n.限制
limited,adj.被限制的
limp,v.跛行
line,n./v.線條；畫線於
linen,n.亞麻布製品
linger,v.逗留
lingering,adj.持久的
linguist,n.精通數種外國語言者
linguistics,n.語言學
link,n./v.連結；環結
lion,n.獅子
lip,n.嘴唇
lipstick,n.口紅
liquid,n.液體
liquidation,n.清償
liquor,n.含酒精的飲料
list,n./v.表；把…編列成表
listen,v.聽；聽從
listener,n.聽眾
literacy,n.識字；讀寫能力
literary,adj.文學的
literate,adj.文雅的
literature,n.文學
litter,n.雜物；垃圾
little,adj.小的
live,adj.活的
live,v.活著；過(生活)
livelihood,n.生計
lively,adj.有生氣的
liver,n.肝臟；居住者
livestock,n.家畜
living,adj.活著的
lizard,n.蜥蜴
load,n./v.裝載；負擔
loaf,n.一條麵包；遊蕩
loan,n./v.借出
lobby,n.門廊；休息室
lobster,n.龍蝦
local,adj.地方性的
locate,v.使…座落於
location,n.選定路線
lock,n./v.鎖
locomotive,adj.移動的
loft,n.閣樓
log,n.原木
logic,n.邏輯
logical,adj.邏輯的
logo,n.(=logotype)標識；商標
lonely,adj.寂寞的
lonesome,adj.寂寞的
long,v.渴望
longevity,n.長壽
look,n./v.看
loom,v.隱約的或威脅性的出現
loop,n.環形花狀
loose,adj.鬆散的
loosely,adv.不嚴格地；寬鬆地
loosen,v.放鬆
lord,n.統治者
lorry,n.載貨卡車
lose,v.丟失
loser,n.失敗者
loss,n.喪失；遺失
lot,n.很多
lotion,n.外用藥水；化妝水
lottery,n.獎券；彩票
lotus,n.蓮；忘憂樹
loud,adj.大聲的
loudspeaker,n.揚聲器
lounge,n./v.休息室；懶洋洋地坐或站
lousy,adj.不潔的；卑鄙的
lovable,adj.可愛的
love,v./n.愛；喜歡
lovely,adj.可愛的
lover,n.戀人
loving,adj.愛的
low,adj.低的
lower,adj./v.較低的；降下
loyal,adj.忠誠的
loyalty,n.忠誠
lubricant,n.潤滑劑
luck,n.運氣
lucky,adj.幸運的
lucrative,adj.可獲利的；賺錢的
luggage,n.行李
luminous,adj.明亮的；清楚的
lunar,adj.陰曆的；月亮的
lunch,n.午餐
luncheon,n.午餐；午宴
lung,n.肺
luxury,n.奢侈
lyric,n.抒情詩
machine,n.機器
machinegun,n.機關槍
machinery,n.機械裝置
mad,adj發瘋的；狂熱的
madam,n.夫人；太太；小姐
magazine,n.雜誌；期刊
magic,adj./n.有魔力的；魔法
magical,adj.魔法的
magician,n.魔術師
magnet,n.磁鐵
magnetic,adj.磁鐵的；帶磁性的
magnificent,adj.壯麗的
magnify,v.擴大；誇大；誇獎
maid,n.少女
maiden,n.少女
mail,n./v.郵件；郵寄
main,adj.主要的
mainland,n.大陸
mainstream,n.主流
maintain,v.保持
majestic,adj.莊嚴的
majesty,n.威嚴；王權
major,adj./n./v.主要的；主修
majority,n.多數
make,v.做；到達；獲得
makeup,n.裝扮；化妝品
malaria,n.瘧疾
male,adj./n.男性的；雄的
malicious,adj.存心不良的
mall,n.大規模購物中心
man,n.男人
manage(ment),v.(n)管理
manageable,adj.能處理的
manager,n.經理；管理人
mandarin,n.國語
manhood,n.成年；男子氣質
mankind,n.人類
manifestation,n.顯示；發表
manifesto,n.宣言；聲明
manipulate,v.操縱
manner,n.方法；態度
manners,n.禮貌；習俗
manpower,n.人力
mansion,n.大廈；官邸
manufacture,n./v.製造業；製造
manufacturer,n.製造者
manuscript,n.草稿；手稿
many,adj./pron. 許多
map,n./v.地圖
marathon,n.馬拉松賽跑
marble,n.大理石
March,n.三月
march,v.行軍；走過
mare,n.母馬；母驢
margin,n.邊綠
marginal,adj.空白處的；邊際的
mark,n./v.痕跡；記號
market,n./v.市場
marriage,n.結婚
married,adj.已婚的
marry,v.娶；嫁
Mars,n.戰神；火星
marshal,n.元帥
martial,adj.軍事的
marvel,n.令人驚奇或驚喜的事物
marvelous,adj.奇妙的
masculine,adj.男性的；陽性的
mask,n./v.面具
mass,n.大量
massacre,n.大屠殺
massage,n.按摩
master,n.主人；雇主
master,v.做…主人；精通
masterpiece,n.傑作；名著
mastery,n.控制；熟練
mat,n.墊；草簾
match,n./v.比賽；競賽
mate,n.同伴
material,n.材料
mathematical,adj.數學的
mathematics/math,n.數學
matter,n.事情；問題
matter,v.有關係；要緊
mature,adj.成熟的
maturity,n.成熟；完成
maximum,n.最大限度
May,n.五月
maybe,adv.可能
mayor,n.市長；鎮長
meadow,n.草地
meal,n.一餐
mean,adj.吝嗇的
mean,v.表示…的意思
meaning,n.意義；重要性
meaningful,adj.意味深長的
meaningless,adj.無意義的
means,n.手段；方法
meanwhile,adv.其問；同時
measles,n.麻疹
measure(ment),v./n.測量
meat,n.(食用的)肉
mechanical,adj.機械的
mechanics,n.力學；機械學
medal,n.獎章；紀念章
media,n.媒體
medical,adj.醫學的
medication,n.藥物治療
medicine,n.藥；醫學
medieval,adj.中古的；中世紀的
meditation,n.沉思；冥想
medium,n.中間；媒介
meek,adj.溫順的
meet,v.遇見
meeting,n.會議
melancholy,n./adj.悲哀；憂鬱
mellow,adj.香醇的；柔和的；老練的
melody,n.旋律
melon,n.甜瓜
melt,v.融化
member,n.成員
membership,n.會員(資格)
memo,n.備忘錄
memorable,adj.值得紀念的
memorial,adj./n.紀念的；紀念品
memorize,v.背誦；記憶
men,n. man的複數
menace,n.危險；威脅
mental,adj.精神的
mentality,n.智力；心性
mentally,adv.智力不足的；心理有缺陷的
mention,n./v.提及
mentor,n.導師
menu,n.菜單；項目單
merchant,n.商人
mercy,n.慈悲
mere,adj.僅僅的
merit,n.價值；長處
merry,adj.歡樂的
mess,n.紊亂
message,n.消息
messenger,n.使者；信差
metal,n.金屬
metaphor,n.
metaphysical,adj.玄學的；形而上學的
meter,n.測量儀表；公尺
method,n.方法
microphone,n.麥克風
microwave,n.微波
middle,adj./n.中問的；中部
midnight,n.午夜
mighty,adj.強大的；偉大的
migration,n.遷移
mild,adj.溫和的；順口的
mileage,n.哩數
militant,adj.好戰的
military,adj./n.軍事的；軍隊
milk,n./v.牛奶
mill,n./v.磨坊；碾碎
milligram,n.毫克
million,n.百萬
millionaire,n.百萬富翁
mind,n./v.頭腦；注意；留意
mine,n.礦；礦山
miner,n.礦工
mingle,v.混合
minimal,adj.最低程度的
minimum,n.最低限度；極小
minister,n.部長；外交使節
ministry,n.牧師之職；內閣
minor,adj./n.較小的；次要的
minority,n.少數
minus,prep./adj./n.負的
minute,n.分鐘
miracle,n.奇蹟
miraculously,adv.神奇地
mirror,n./v.鏡子；反映
misbehave,v.做不正當的事
miscellaneous,adj.各式各樣的
mischief,n.危害；淘氣
misconduct,n.不規矩的行為；不當的處理
miserable,adj.不幸的
misery,n.不幸；悲慘
misfortune,n.壞運氣；不幸
mishap,n.災難
mislead,v.誤導
miss,v.錯過；想念
missile,n.飛彈
missing,adj.行蹤不明的
mission,n.使節團；使命
missionary,n.傳教士
mist,n.霧；迷濛
mistake,n.錯誤；過失
mistress,n.女主人
misunderstand,v.誤會
misunderstanding,n.誤解
mix,v.混和
mixture,n.混合物
moan,v./n.呻吟(聲)
mob,n.烏合之眾；無秩序的民眾
mobile,adj./n易；汽車
