abandon,v. 遺棄
casually,adv.漫不經心的
casualty,n.傷亡者
catalogue,n.目錄
catastrophe,n.災難
catch,v./n.抓住；捕獲
catcher,n.捕捉者
cater,v.承包伙食
caterpillar,n.毛蟲
cattle,n.牛；牲口
causal,adj.具有因果關係的
cause,n./v.導致；原因
caution,n.謹慎
cautious,adj.小心的
cautiously,adv.小心地
cavalry,n.騎兵(隊)
cave,n.洞穴
CD,n.(=compact disc)光碟
cease,v.停止
ceasefire,n.停火協定
ceiling,n.天花板
celebrate,v.慶祝
celebration,n慶祝
celebrity,n.名人(聲)
cell,n.小囚房；細胞
cellar,n.地窖
cemetery,n.墓地
census,n.調查
cent,n.一分錢
center,n./v.使集中；核心
centigrade,adj./n.攝氏(的)
central,adj.中央的；核心的
century,n.世紀
ceramic,adj.陶器(藝)的
cereal,n.玉蜀黍薄片
ceremonious,adj.拘泥形式的
ceremony,n.典禮；禮儀
certain,adj.確信的
certificate,n.證書
chain,n./v.鏈條；束縛
chair,n.椅子
chairwoman,n.女主席
chalk,n.白堊；粉筆
challenge,n./v.挑戰
challenging,adj.富有挑戰性的
chamber,n.房間；室
champagne,n.香檳
champion,n.優勝者；戰士
championship,n.冠軍稱號；錦標賽
chance,n./v.偶然；機會
Chancellor,n.司法官
changeable,adj.易變的
channel,n./v.海峽；溝渠
chaos,n.無秩序狀態
chapter,n.章，回
character,n.性格；特質
characteristic,adj./n.特有的；特性
charge,n./v.索價；控告
charitable,adj.仁慈的
charity,n.慈善團體
charm,nJv.魅力；使陶醉
charming,adj.有魅力的
chart,n./v.圖表
chase,v./n.追逐
chat,v./n.聊天
chatterbox,n、喋喋不休的人
cheap,adj.便宜的
cheat,v./n.作弊；欺騙
check,n./v.支票；檢查
checkbook,n.支票簿
check-in,n.登記手續
check-out,n.檢查；付款退租
checkup,n.檢查
cheek,n.臉頰
cheer,n./v.歡呼；激勵
cheerful,adj.興高采烈的
cheerleader,n.啦啦隊隊長
cheers,interj.乾杯
cheese,n.乳酪；乾酪
chef,n.主廚
chemical,adj./n.化學的
chemist,n.化學家
chemistry,n.化學；化學作用
cherish,v.珍惜
cherry,n.櫻桃
chess,n.西洋棋
chessboard,n.西洋棋棋盤
chest,n.胸膛；箱子
chew,v./n.咀嚼；深思
chick,n.小雞；少婦
chicken,n.雞肉；膽小鬼
chief,adj./n.主要的；首領
child,n.小孩子
childbirth,n.分娩
childcare,n.照料小孩
childhood,n.童年時期
childish,adj.孩子氣的
childlike,adj.天真無邪的
children,n. [pl.]小孩子
chill,v./adj.(使)變冷；寒冷的
chilly,adj. 冷颼颼的
chimney,n.煙囪
chimpanzee,n.黑猩猩
chin,n.下巴
china,n.瓷器
chip,n./v.晶片；削
chlorine,n.氯(氣)
